40018	FAIL	(SQL Injection)
40019	FAIL	(SQL Injection - MySQL)
40020	FAIL	(SQL Injection - Hypersonic SQL)
40021	FAIL	(SQL Injection - Oracle)
40022	FAIL	(SQL Injection - PostgreSQL)
40024	FAIL	(SQL Injection - SQLite)
40027	FAIL	(SQL Injection - MsSQL)
90018	FAIL	(SQL Injection - Advanced)
40012	FAIL	(Cross Site Scripting - Reflected)
40014	FAIL	(Cross Site Scripting - Persistent)
40016	FAIL	(Cross Site Scripting - Persistent - Prime)
40017	FAIL	(Cross Site Scripting - Persistent - Spider)
90020	FAIL	(Remote OS Command Injection)
90019	FAIL	(Server Side Code Injection)
6	FAIL	(Path Traversal)
7	FAIL	(Remote File Inclusion)
10015	IGNORE	(Re-examine Cache-control Directives)
10027	IGNORE	(Information Disclosure - Suspicious Comments)
10035	IGNORE	(Strict-Transport-Security Header Not Set)
10036	IGNORE	(Server Leaks Version Information)
10049	IGNORE	(Storable and Cacheable Content)
10055	IGNORE	(CSP: Failure to Define Directive with No Fallback)
10109	IGNORE	(Modern Web Application)
90004	IGNORE	(Cross-Origin-Embedder-Policy Header Missing)
